,mean MSL,compound Prob,node Tier,useNode,compoundLevel
14624,0.24238293800430236,0.3313722742569914,1,1,3
14625,0.21682388057799243,0.2898388059392377,0,0,0
14626,0.5172934431639787,0.75,3,1,0
14627,0.46937498300602304,0.7002343473847875,2,1,0
14628,0.4100103530337155,0.6037668236797878,2,1,0
14629,0.2512860549475546,0.34583983928977635,1,1,2
14630,0.4729174344287188,0.7059908309466681,2,1,0
14631,0.49539711033014605,0.7425203042864874,2,0,0
14632,0.27827912788342024,0.38970358281055795,1,1,3
14633,0.24864525089321027,0.34154853270146673,1,0,0
14634,0.42936540138102647,0.6352187772441681,2,0,0
14635,0.2914209318078631,0.4110590141877776,1,1,0
14636,0.3834235642829392,0.5605632919597763,2,0,0
14637,0.40834302684878343,0.6010574186292732,2,1,3
14638,0.22477991149475524,0.3027673561789773,0,1,0
14639,0.517964692441496,0.75,3,0,0
14640,0.4719696053866312,0.7044506087532758,2,0,0
14641,0.40035972766324646,0.5880845574527755,2,0,0
14642,0.5065691397777121,0.75,3,1,0
14643,0.2427493990384615,0.33196777343749995,1,0,0
14644,0.40593531349505607,0.5971448844294662,2,0,0
14645,0.2586386472323972,0.3577878017526455,1,1,0
14646,0.22515246616809118,0.3033727575231482,1,1,0
14647,0.4639480399025013,0.6914155648415646,2,0,0
14648,0.4072615984485944,0.599300097478966,2,0,0
14649,0.46583748282967025,0.6944859095982142,2,0,0
14650,0.49021091806477834,0.734092741855265,2,1,0
14651,0.36185593183582404,0.5255158892332141,2,0,0
14652,0.22164499582286096,0.2976731182121491,0,1,3
14653,0.6314168389584216,0.75,3,0,0
14654,0.4878390323214452,0.7302384275223486,2,0,0
14655,0.4897313289672705,0.7333134095718147,2,0,0
14656,0.47262001193251196,0.7055075193903321,2,1,0
14657,0.2548685744512225,0.35166143348323664,1,0,0
14658,0.24890924902643655,0.34197752966795947,1,1,2
14659,0.2722138047771833,0.37984743276292293,1,1,0
14660,0.4061287219942454,0.5974591732406488,2,0,0
14661,0.503097975681359,0.75,3,1,1
14662,0.5077990857251171,0.75,3,0,0
14663,0.48776735541675037,0.7301219525522195,2,0,0
14664,0.3060588860446269,0.43484568982251876,1,0,0
14665,0.36725439844415025,0.5342883974717443,2,0,0
14666,0.43390731247918735,0.6425993827786796,2,1,0
14667,0.4675899885943086,0.6973337314657516,2,1,0
14668,0.47171316469994573,0.7040338926374119,2,1,0
14669,0.4471001221291251,0.6640376984598284,2,1,3
14670,0.3701644351543546,0.5390172071258263,2,0,0
14671,0.23334275968322019,0.3166819844852328,1,1,3
14672,0.4361861264364661,0.6463024554592575,2,1,3
14673,0.3587054072524487,0.5203962867852292,2,1,0
14674,0.2264663075761179,0.30550774981119166,1,1,3
14675,0.4687897619741371,0.6992833632079729,2,1,1
14676,0.4323351821789322,0.6400446710407649,2,0,0
14677,0.5063115318387723,0.75,3,0,0
14678,0.35582660106097597,0.5157182267240861,2,0,0
14679,0.37339491745033676,0.5442667408567973,2,1,0
14680,0.36187182955439534,0.5255417230258925,2,1,3
14681,0.5171490184078517,0.75,3,1,3
14682,0.24451881513823476,0.33484307459963153,1,1,0
14683,0.25513175873256533,0.3520891079404187,1,1,0
14684,0.36812172376234875,0.5356978011138168,2,0,0
14685,0.5218795466516056,0.75,3,1,0
14686,0.23825946911884413,0.32467163731812176,1,1,0
14687,0.356555091685838,0.5169020239894868,2,1,0
14688,0.4740856474689288,0.7078891771370094,2,0,0
14689,0.46850474467661957,0.6988202100995069,2,0,0
14690,0.39918294968919965,0.5861722932449496,2,0,0
14691,0.35105019015646716,0.5079565590042592,2,0,0
14692,0.3952470479195466,0.5797764528692634,2,1,3
14693,0.22294462863268674,0.299785021528116,0,1,0
14694,0.20734083624708624,0.2744288589015152,0,0,0
14695,0.4976080670803606,0.746113109005586,2,1,1
14696,0.26947085985510133,0.37539014726453973,1,1,3
14697,0.4985009448410837,0.7475640353667611,2,0,0
14698,0.46592085722175697,0.6946213929853552,2,0,0
14699,0.38497717491060784,0.5630879092297378,2,1,0
14700,0.5029158358102828,0.75,3,0,0
14701,0.2475066766462044,0.3396983495500822,1,0,0
14702,0.280049941526518,0.3925811549805918,1,1,3
14703,0.36038655626780625,0.5231281539351852,2,1,0
14704,0.46647134580898175,0.6955159369395955,2,0,0
14705,0.4565973043132342,0.6794706195090057,2,0,0
14706,0.2751557036713287,0.38462801846590916,1,1,2
14707,0.36436732711732717,0.5295969065656567,2,1,0
14708,0.4270119059181559,0.6313943471170035,2,0,0
14709,0.26801344358766244,0.3730218458299515,1,1,0
14710,0.4139564511060835,0.6101792330473857,2,0,0
14711,0.2685737385671072,0.3739323251715493,1,1,0
14712,0.285143916308787,0.40085886400177895,1,1,0
14713,0.510437573271133,0.75,3,0,0
14714,0.2750909788995727,0.38452284071180565,1,1,0
14715,0.48368038628237037,0.7234806277088519,2,0,0
14716,0.3840029394398634,0.5615047765897782,2,0,0
14717,0.42657702444160767,0.6306876647176125,2,0,0
14718,0.5452660343877868,0.75,3,0,0
14719,0.4661304666991757,0.6949620083861606,2,0,0
14720,0.39906650910970504,0.5859830773032708,2,1,3
14721,0.22194223164460897,0.2981561264224896,0,0,0
14722,0.41215201288081094,0.6072470209313179,2,0,0
14723,0.47125823729531485,0.7032946356048867,2,0,0
14724,0.48206485347886846,0.7208553869031613,2,1,3
14725,0.4034172787571224,0.593053077980324,2,0,0
14726,0.21863139847285068,0.2927760225183824,0,0,0
